,data,nome_feriado,tipo_feriado,descricao_feriado,UF,Cidade
0,19/03/2018,São José,MUNICIPAL,Dia de São José,SP,Adolfo 
1,06/08/2018,Aniversário,MUNICIPAL,Aniversário de Aguaí,SP,Aguaí 
2,20/11/2018,Dia da Consciência Negra,MUNICIPAL,"Lei Municipal Nº 2130, de 10.12.2008",SP,Aguaí 
3,20/11/2018,Dia da Consciência Negra,MUNICIPAL,"Lei Municipal No 1818, de 2009",SP,Águas da Prata 
4,20/11/2018,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 1354 de 21/11/2006,SP,Águas de São Pedro 
5,20/11/2018,Dia da Consciência Negra,MUNICIPAL, Lei Municipal nº 2.533/2010,SP,Alfredo Marcondes 
6,20/11/2018,Dia da Consciência Negra,MUNICIPAL,"Lei Municipal no 1.586, de 13/11/2007",SP,Altinópolis 
7,19/03/2018,São José,MUNICIPAL,Dia de São José,SP,Álvares Machado 
8,30/03/2018,Sexta-Feira Santa,MUNICIPAL,Sexta-Feira Santa,SP,Americana 
9,31/05/2018,Corpus Christi,MUNICIPAL,Dia de Corpus Christi,SP,Americana 
10,18/11/2018,Dia da Consciência Negra,MUNICIPAL,Comemorações do Dia da Consciência Negra em Americana ocorrem no Terceiro Domingo do mês de Novembro,SP,Americana 
11,20/11/2018,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 00022/2007,SP,Américo Brasiliense 
12,20/11/2018,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 03043/2004,SP,Amparo 
13,20/11/2018,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 03410/2006,SP,Aparecida 
14,20/11/2018,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 06924/07,SP,Araçatuba 
15,20/11/2018,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No. 1.675 DE 14 de setembro de 2009,SP,Araçoiaba da Serra 
16,19/03/2018,São José,MUNICIPAL,Dia de São José,SP,Arandu 
17,20/11/2018,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 06633/07,SP,Araraquara 
18,20/11/2018,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No. 4.258/2009,SP,Araras 
19,01/04/2018,Páscoa,MUNICIPAL,"A Páscoa é um evento religioso cristão, normalmente considerado pelas igrejas ligadas a esta corrente religiosa como a maior e a mais importante festa da Cristandade. Na Páscoa os cristãos celebram a Ressurreição de Jesus Cristo depois da sua morte.",SP,Arealva 
20,30/03/2018,Sexta-Feira Santa,MUNICIPAL,"Sexta-Feira Santa conforme Lei 978/67, de 03 de Maio de 1967",SP,Atibaia 
21,31/05/2018,Corpus Christi,MUNICIPAL,"Corpus Christi conforme Lei 978/67, de 03 de Maio de 1967",SP,Atibaia 
22,24/06/2018,Aniversário da Cidade,MUNICIPAL,"Aniversário de Atibaia, conforme Lei 978/67, de 03 de Maio de 1967",SP,Atibaia 
23,02/11/2018,Finados,MUNICIPAL,"Dia de Finados, conforme Lei 978/67, de 03 de Maio de 1967",SP,Atibaia 
24,20/11/2018,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 0004 de 03/03/2009,SP,Bananal 
25,19/03/2018,São José,MUNICIPAL,Dia de São José,SP,Barra Bonita 
26,20/11/2018,Dia da Consciência Negra,MUNICIPAL,"Lei Municipal No 4151, de 04.02.2009",SP,Barretos 
27,20/11/2018,Dia da Consciência Negra,MUNICIPAL,"Lei Municipal No 1639, de 01/03/2007",SP,Barueri 
28,19/05/2018,Emancipação,MUNICIPAL,Emancipação Político-administrativo,SP,Bertioga 
29,24/06/2018,São João,MUNICIPAL,"Dia de São João Batista, padroeiro do município",SP,Bertioga 
30,20/11/2018,Consciência Negra,MUNICIPAL,Dia da Consciência Negra,SP,Bertioga 
31,08/12/2018,Nossa Sra da Conceição,MUNICIPAL,Dia da Padroeira da Cidade,SP,Birigui 
32,08/12/2018,Nossa Sra. Conceição,MUNICIPAL,Feriado de Nossa Senhora da Conceição,SP,Bocaina 
33,22/05/2018,Aniversário da Cidade,MUNICIPAL,Aniversário da Cidade de Bom Jesus dos Perdões,SP,Bom Jesus dos Perdões 
34,20/11/2018,Dia da Consciência Negra,MUNICIPAL,"Lei Municipal No 2471, de 10.10.2008",SP,Borborema 
35,30/03/2018,Sexta-Feira Santa,MUNICIPAL,Sexta-Feira Santa,SP,Botucatu 
36,14/04/2018,Aniversário da Cidade,MUNICIPAL,Aniversário da Cidade,SP,Botucatu 
37,31/05/2018,Corpus Christi,MUNICIPAL,Corpus Christi,SP,Botucatu 
38,26/07/2018,Dia de SantAnna,MUNICIPAL,Dia de SantAnna,SP,Botucatu 
39,20/11/2018,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 1765 de 09 11 2006,SP,Cabreúva 
40,30/03/2018,Sexta-Feira Santa,MUNICIPAL,Sexta-Feira Santa,SP,Caconde 
41,27/04/2018,Aniversário Ranieri Mazzilli,MUNICIPAL," Aniversário de Ranieri Mazzilli. Lei Municipal nº 2255, de 14 de dezembro de 2005",SP,Caconde 
42,31/05/2018,Corpus Christi,MUNICIPAL,"conforme Lei Municipal nº 950, de 30 de setembro de 1969",SP,Caconde 
43,08/12/2018,Aniversário da Cidade,MUNICIPAL,Aniversário do Município. Lei Municipal nº 841 de 31 de agosto de 1967,SP,Caconde 
44,13/06/2018,Dia de Santo Antônio,MUNICIPAL,Dia do Padroeiro da Cidade,SP,Caieiras 
45,19/03/2018,São José,MUNICIPAL,Dia de São José,SP,Caiuá 
46,20/11/2018,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 1.993 de 20 de setembro de 2010,SP,Cajobi 
47,30/03/2018,Sexta-feira Santa,MUNICIPAL,"conforme Lei Municipal no 173, de 28 de junho de 1949",SP,Campinas 
48,31/05/2018,Corpus Christi,MUNICIPAL,"conforme Lei Municipal no 173, de 28 de junho de 1949",SP,Campinas 
49,20/11/2018,Consciência Negra,MUNICIPAL,"Dia da Consciência Negra, conforme Lei Municipal No 11.128 DE 14/01/2002",SP,Campinas 
50,08/12/2018,N. Sra da Conceição,MUNICIPAL,"Padroeira de Campinas, Lei Municipal no 173, de 28 de junho de 1949",SP,Campinas 
51,20/11/2018,Dia da Consciência Negra,MUNICIPAL,"Lei Municipal N° 3028, de 27.12.2006",SP,Campos do Jordão 
52,19/03/2018,São José,MUNICIPAL,Dia de São José,SP,Campos Novos Paulista 
53,20/11/2018,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 338 de 14 de novembro de 2007,SP,Canas 
54,20/11/2018,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 3994/2012,SP,Capivari 
55,20/11/2018,Dia da Consciência Negra,MUNICIPAL,"Lei Municipal No 1402, de 14.06.2007",SP,Caraguatatuba 
