,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario
0,3500105,ADAMANTINA,-21.682,-51.0737,0,35,6101,18,America/Sao_Paulo
1,3500204,ADOLFO,-21.2325,-49.6451,0,35,6103,17,America/Sao_Paulo
2,3500303,AGUAI,-22.0572,-46.9735,0,35,6105,19,America/Sao_Paulo
3,3500402,AGUAS DA PRATA,-21.9319,-46.7176,0,35,6107,19,America/Sao_Paulo
4,3500501,AGUAS DE LINDOIA,-22.4733,-46.6314,0,35,6109,19,America/Sao_Paulo
5,3500550,AGUAS DE SANTA BARBARA,-22.8812,-49.2421,0,35,7019,14,America/Sao_Paulo
6,3500600,AGUAS DE SAO PEDRO,-22.5977,-47.8734,0,35,6111,19,America/Sao_Paulo
7,3500709,AGUDOS,-22.4694,-48.9863,0,35,6113,14,America/Sao_Paulo
8,3500758,ALAMBARI,-23.5503,-47.898,0,35,2995,15,America/Sao_Paulo
9,3500808,ALFREDO MARCONDES,-21.9527,-51.414,0,35,6115,18,America/Sao_Paulo
10,3500907,ALTAIR,-20.5242,-49.0571,0,35,6117,17,America/Sao_Paulo
11,3501004,ALTINOPOLIS,-21.0214,-47.3712,0,35,6119,16,America/Sao_Paulo
12,3501103,ALTO ALEGRE,-21.5811,-50.168,0,35,6121,18,America/Sao_Paulo
13,3501152,ALUMINIO,-23.5306,-47.2546,0,35,3065,11,America/Sao_Paulo
14,3501202,ALVARES FLORENCE,-20.3203,-49.9141,0,35,6123,17,America/Sao_Paulo
15,3501301,ALVARES MACHADO,-22.0764,-51.4722,0,35,6125,18,America/Sao_Paulo
16,3501400,ALVARO DE CARVALHO,-22.0841,-49.719,0,35,6127,14,America/Sao_Paulo
17,3501509,ALVINLANDIA,-22.4435,-49.7623,0,35,6129,14,America/Sao_Paulo
18,3501608,AMERICANA,-22.7374,-47.3331,0,35,6131,19,America/Sao_Paulo
19,3501707,AMERICO BRASILIENSE,-21.7288,-48.1147,0,35,6133,16,America/Sao_Paulo
20,3501806,AMERICO DE CAMPOS,-20.2985,-49.7359,0,35,6135,17,America/Sao_Paulo
21,3501905,AMPARO,-22.7088,-46.772,0,35,6137,19,America/Sao_Paulo
22,3502002,ANALANDIA,-22.1289,-47.6619,0,35,6139,19,America/Sao_Paulo
